org_name	ncbi_link	repr
Buchnera aphidicola str. Ua (Uroleucon ambrosiae)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/225/465/GCA_000225465.1_ASM22546v1	True
Buchnera aphidicola str. USDA (Myzus persicae)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/521/525/GCA_000521525.1_ASM52152v1	False
Buchnera aphidicola str. W106 (Myzus persicae)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/521/545/GCA_000521545.1_ASM52154v1	False
Buchnera aphidicola str. G002 (Myzus persicae)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/521/565/GCA_000521565.1_ASM52156v1	True
Buchnera aphidicola str. F009 (Myzus persicae)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/521/585/GCA_000521585.1_ASM52158v1	False
Buchnera aphidicola (Aphis glycines)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/280/225/GCA_001280225.1_ASM128022v1	True
Buchnera aphidicola (Schlechtendalia chinensis)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/648/115/GCA_001648115.1_ASM164811v1	True
Buchnera aphidicola (Diuraphis noxia)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/700/895/GCA_001700895.1_ASM170089v1	True
Buchnera aphidicola (Melanaphis sacchari)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/096/055/GCA_003096055.1_ASM309605v1	False
Buchnera aphidicola (Schizaphis graminum)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/099/975/GCA_003099975.1_ASM309997v1	False
Buchnera aphidicola (Rhopalosiphum maidis)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/671/935/GCA_003671935.1_ASM367193v1	False
Buchnera aphidicola (Tuberolachnus salignus)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/016/785/GCA_900016785.1_BTsPazieg1.0	True
Buchnera aphidicola (Cinara pseudotaxifoliae)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/128/595/GCA_900128595.1_BCipseudotaxifoliae_v1.0	True
Buchnera aphidicola	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/128/725/GCA_900128725.1_BCifornacula_v1.0	True
Buchnera aphidicola (Cinara confinis)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/128/735/GCA_900128735.1_BCiconfinis_v1.0	True
Cellulomonas gilvus ATCC 13127	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/218/545/GCA_000218545.1_ASM21854v1	True
Dictyoglomus thermophilum H-6-12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/965/GCA_000020965.1_ASM2096v1	True
Pelobacter carbinolicus DSM 2380	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/885/GCA_000012885.1_ASM1288v1	True
Shewanella putrefaciens CN-32	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/585/GCA_000016585.1_ASM1658v1	False
Shewanella putrefaciens 200	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/169/215/GCA_000169215.2_ASM16921v2	False
Shewanella putrefaciens	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/044/255/GCA_003044255.1_ASM304425v1	False
Myxococcus fulvus HW-1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/219/105/GCA_000219105.1_ASM21910v1	True
Myxococcus fulvus 124B02	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/988/565/GCA_000988565.1_ASM98856v1	False
Myxococcus xanthus DK 1622	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/685/GCA_000012685.1_ASM1268v1	True
Myxococcus macrosporus DSM 14697	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/305/895/GCA_002305895.1_ASM230589v1	False
Stigmatella aurantiaca DW4/3-1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/165/485/GCA_000165485.1_ASM16548v1	True
Cystobacter fuscus	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/305/875/GCA_002305875.1_ASM230587v1	False
Archangium gephyra	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/027/285/GCA_001027285.1_ASM102728v1	True
Chondromyces crocatus	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/189/295/GCA_001189295.1_ASM118929v1	True
Sorangium cellulosum So ce56	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/067/165/GCA_000067165.1_ASM6716v1	True
Sorangium cellulosum So0157-2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/418/325/GCA_000418325.1_ASM41832v1	False
Sorangium cellulosum	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/950/945/GCA_002950945.1_ASM295094v1	False
Vitreoscilla filiformis	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/222/655/GCA_002222655.1_ASM222265v1	True
Herpetosiphon aurantiacus DSM 785	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/565/GCA_000018565.1_ASM1856v1	False
Lysobacter enzymogenes	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/355/975/GCA_002355975.1_ASM235597v1	False
Simonsiella muelleri ATCC 29453	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/951/835/GCA_002951835.1_ASM295183v1	False
Cyclobacterium marinum DSM 745	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/222/485/GCA_000222485.1_ASM22248v1	True
Runella slithyformis DSM 19594	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/218/895/GCA_000218895.1_ASM21889v1	True
Spirosoma linguale DSM 74	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/525/GCA_000024525.1_ASM2452v1	False
Gemmata obscuriglobus	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/149/495/GCA_003149495.1_ASM314949v1	False
Rubinisphaera brasiliensis DSM 5305	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/165/715/GCA_000165715.3_ASM16571v3	True
Planctopirus limnophila DSM 3776	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/105/GCA_000092105.1_ASM9210v1	True
Pirellula staleyi DSM 6068	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/185/GCA_000025185.1_ASM2518v1	True
Isosphaera pallida ATCC 43644	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/186/345/GCA_000186345.1_ASM18634v1	True
Borreliella burgdorferi B31	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/685/GCA_000008685.2_ASM868v2	False
Borreliella burgdorferi ZS7	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/405/GCA_000021405.1_ASM2140v1	False
Borreliella burgdorferi N40	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/166/635/GCA_000166635.2_ASM16663v1	False
Borreliella burgdorferi JD1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/166/655/GCA_000166655.2_ASM16665v1	False
Borreliella burgdorferi CA382	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/444/465/GCA_000444465.1_ASM44446v1	False
Borreliella burgdorferi	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/151/465/GCA_002151465.1_ASM215146v1	False
Borreliella burgdorferi	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/151/485/GCA_002151485.1_ASM215148v1	False
Borreliella burgdorferi	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/151/505/GCA_002151505.1_ASM215150v1	False
Borreliella burgdorferi	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/442/595/GCA_002442595.1_ASM244259v1	False
Borreliella burgdorferi	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/367/295/GCA_003367295.1_ASM336729v1	False
Borrelia hermsii CC1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/956/315/GCA_000956315.1_ASM95631v1	False
Borrelia hermsii HS1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/660/005/GCA_001660005.1_ASM166000v1	True
Borrelia parkeri HR1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/512/145/GCA_000512145.2_ASM51214v2	False
Borrelia turicatae 91E135	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/085/GCA_000012085.2_ASM1208v2	True
Borrelia turicatae	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/568/645/GCA_003568645.1_ASM356864v1	False
Borrelia anserina Es	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/936/255/GCA_001936255.1_ASM193625v1	True
Spirochaeta thermophila DSM 6192	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/075/GCA_000147075.1_ASM14707v1	False
Spirochaeta thermophila DSM 6578	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/184/345/GCA_000184345.2_ASM18434v2	True
Treponema denticola ATCC 35405	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/185/GCA_000008185.1_ASM818v1	False
Brachyspira hyodysenteriae WA1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/105/GCA_000022105.1_ASM2210v1	False
Brachyspira hyodysenteriae ATCC 27164	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/676/785/GCA_001676785.2_ASM167678v2	True
Brachyspira hyodysenteriae	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/850/235/GCA_002850235.1_ASM285023v1	False
Treponema pallidum subsp. pallidum str. Nichols	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/605/GCA_000008605.1_ASM860v1	False
Treponema pallidum subsp. pallidum str. Sea 81-4	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/604/125/GCA_000604125.1_ASM60412v1	True
Treponema succinifaciens DSM 2489	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/275/GCA_000195275.1_ASM19527v1	True
Leptospira biflexa serovar Patoc strain 'Patoc 1 (Ames)'	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/605/GCA_000017605.1_ASM1760v1	False
Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)'	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/685/GCA_000017685.1_ASM1768v1	True
Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/685/GCA_000007685.1_ASM768v1	False
Leptospira interrogans serovar Lai str. 56601	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/565/GCA_000092565.1_ASM9256v1	False
Leptospira interrogans serovar Lai str. IPAV	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/231/175/GCA_000231175.1_ASM23117v1	False
Leptospira interrogans serovar Linhai str. 56609	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/941/035/GCA_000941035.1_ASM94103v1	False
Leptospira interrogans serovar Bratislava	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/010/765/GCA_001010765.1_ASM101076v1	False
Leptospira interrogans serovar Manilae	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/047/635/GCA_001047635.1_ASM104763v1	False
Leptospira interrogans serovar Manilae	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/047/655/GCA_001047655.1_ASM104765v1	False
Leptospira interrogans serovar Hardjo str. Norma	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/293/065/GCA_001293065.1_ASM129306v1	False
Leptospira interrogans serovar Copenhageni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/073/495/GCA_002073495.2_ASM207349v2	False
Leptospira borgpetersenii serovar Hardjo-bovis str. L550	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/945/GCA_000013945.1_ASM1394v1	True
Leptospira borgpetersenii serovar Hardjo-bovis str. JB197	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/965/GCA_000013965.1_ASM1396v1	False
Leptospira borgpetersenii serovar Ballum	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/444/465/GCA_001444465.1_ASM144446v1	False
Leptospira borgpetersenii serovar Hardjo-bovis	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/254/845/GCA_003254845.1_ASM325484v1	False
Leptospira borgpetersenii serovar Ceylonica	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/516/145/GCA_003516145.1_ASM351614v1	False
Leptospirillum ferrooxidans C2-3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/315/GCA_000284315.1_ASM28431v1	True
Azospirillum brasilense	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/632/475/GCA_000632475.2_ASM63247v2	False
Azospirillum brasilense	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/315/015/GCA_001315015.1_ASM131501v1	True
Azospirillum sp. B510	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/725/GCA_000010725.1_ASM1072v1	False
Azospirillum lipoferum 4B	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/283/655/GCA_000283655.1_ASM28365v1	False
Campylobacter coli CVM N29710	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/465/235/GCA_000465235.1_ASM46523v1	False
Campylobacter coli 15-537360	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/494/775/GCA_000494775.1_ASM49477v1	False
Campylobacter coli RM1875	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/583/755/GCA_000583755.1_ASM58375v1	False
Campylobacter coli RM4661	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/583/775/GCA_000583775.1_ASM58377v1	False
Campylobacter coli RM5611	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/583/795/GCA_000583795.1_ASM58379v1	False
Campylobacter coli	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/954/195/GCA_000954195.1_ASM95419v1	False
Campylobacter coli	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/305/715/GCA_001305715.1_ASM130571v1	False
Campylobacter coli	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/417/635/GCA_001417635.1_ASM141763v1	False
Campylobacter coli	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/483/845/GCA_001483845.1_ASM148384v1	False
Campylobacter coli	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/639/125/GCA_001639125.1_ASM163912v1	False
Campylobacter coli	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/717/605/GCA_001717605.1_ASM171760v1	False
Campylobacter coli	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/865/455/GCA_001865455.1_ASM186545v1	False
Campylobacter coli	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/865/475/GCA_001865475.1_ASM186547v1	False
Campylobacter coli	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/865/495/GCA_001865495.1_ASM186549v1	False
Campylobacter coli	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/865/515/GCA_001865515.1_ASM186551v1	False
Campylobacter coli	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/865/535/GCA_001865535.1_ASM186553v1	False
Campylobacter coli	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/865/555/GCA_001865555.1_ASM186555v1	False
Campylobacter coli	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/936/355/GCA_001936355.1_ASM193635v1	False
Campylobacter coli	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/024/185/GCA_002024185.1_ASM202418v1	True
Campylobacter coli	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/407/145/GCA_002407145.1_ASM240714v1	False
Campylobacter coli	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/843/985/GCA_002843985.1_ASM284398v1	False
Campylobacter coli	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/030/205/GCA_003030205.1_ASM303020v1	False
Campylobacter fetus subsp. fetus 82-40	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/085/GCA_000015085.1_ASM1508v1	False
Campylobacter fetus subsp. testudinum 03-427	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/495/505/GCA_000495505.1_ASM49550v1	True
Campylobacter fetus subsp. venerealis cfvi03/293	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/512/745/GCA_000512745.2_ASM51274v2	False
Campylobacter fetus subsp. fetus 04/554	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/759/485/GCA_000759485.1_ASM75948v1	False
Campylobacter fetus subsp. venerealis 97/608	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/759/515/GCA_000759515.1_ASM75951v1	False
Campylobacter fetus subsp. testudinum	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/814/265/GCA_000814265.1_ASM81426v1	False
Campylobacter fetus subsp. venerealis str. 84-112	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/967/135/GCA_000967135.1_CFV	False
Campylobacter fetus subsp. testudinum Sp3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/484/645/GCA_001484645.1_ASM148464v1	False
Campylobacter fetus subsp. venerealis	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/686/885/GCA_001686885.1_ASM168688v1	False
Campylobacter fetus subsp. testudinum	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/973/655/GCA_002973655.1_ASM297365v1	False
Campylobacter fetus subsp. fetus	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/475/935/GCA_900475935.1_48450_H02	False
Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/085/GCA_000009085.1_ASM908v1	False
Campylobacter jejuni RM1221	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/865/GCA_000011865.1_ASM1186v1	False
Campylobacter jejuni subsp. jejuni 81-176	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/525/GCA_000015525.1_ASM1552v1	False
Campylobacter jejuni subsp. doylei 269.97	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/485/GCA_000017485.1_ASM1748v1	False
Campylobacter jejuni subsp. jejuni 81116	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/905/GCA_000017905.1_ASM1790v1	False
Campylobacter jejuni subsp. jejuni IA3902	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/425/GCA_000025425.1_ASM2542v1	False
Campylobacter jejuni subsp. jejuni M1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/705/GCA_000148705.1_ASM14870v1	False
Campylobacter jejuni subsp. jejuni CG8421	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/171/795/GCA_000171795.2_ASM17179v2	False
Campylobacter jejuni subsp. jejuni ICDCCJ07001	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/184/085/GCA_000184085.1_ASM18408v1	False
Campylobacter jejuni subsp. jejuni S3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/184/205/GCA_000184205.1_ASM18420v1	False
Campylobacter jejuni subsp. jejuni PT14	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/302/555/GCA_000302555.4_ASM30255v4	False
Campylobacter jejuni subsp. jejuni NCTC 11168-BN148	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/304/375/GCA_000304375.1_AINO	False
Campylobacter jejuni 32488	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/430/385/GCA_000430385.1_ASM43038v1	False
Campylobacter jejuni subsp. jejuni 00-2538	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/466/065/GCA_000466065.2_ASM46606v2	False
Campylobacter jejuni subsp. jejuni 00-2544	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/466/075/GCA_000466075.2_ASM46607v2	False
Campylobacter jejuni subsp. jejuni 00-2426	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/466/105/GCA_000466105.2_ASM46610v2	False
Campylobacter jejuni subsp. jejuni 00-2425	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/468/915/GCA_000468915.2_ASM46891v2	False
Campylobacter jejuni 4031	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/493/495/GCA_000493495.1_TS	False
Campylobacter jejuni subsp. jejuni R14	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/632/435/GCA_000632435.1_ASM63243v1	False
Campylobacter jejuni subsp. jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/737/085/GCA_000737085.1_ASM73708v1	False
Campylobacter jejuni subsp. jejuni F38011	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/772/225/GCA_000772225.1_ASM77222v1	False
Campylobacter jejuni subsp. jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/807/355/GCA_000807355.1_ASM80735v1	False
Campylobacter jejuni subsp. jejuni NCTC 11168-K12E5	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/830/775/GCA_000830775.1_ASM83077v1	False
Campylobacter jejuni subsp. jejuni NCTC 11168-Kf1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/830/805/GCA_000830805.1_ASM83080v1	False
Campylobacter jejuni subsp. jejuni NCTC 11168-mcK12E5	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/830/825/GCA_000830825.1_ASM83082v1	False
Campylobacter jejuni subsp. jejuni NCTC 11168-mfK12E5	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/830/845/GCA_000830845.1_ASM83084v1	False
Campylobacter jejuni subsp. jejuni NCTC 11168-GSv	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/830/865/GCA_000830865.1_ASM83086v1	False
Campylobacter jejuni subsp. jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/835/285/GCA_000835285.1_ASM83528v1	False
Campylobacter jejuni subsp. jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/835/305/GCA_000835305.1_ASM83530v1	False
Campylobacter jejuni subsp. jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/835/345/GCA_000835345.1_ASM83534v1	False
Campylobacter jejuni subsp. jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/835/365/GCA_000835365.1_ASM83536v1	False
Campylobacter jejuni subsp. jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/934/305/GCA_000934305.1_ASM93430v1	False
Campylobacter jejuni subsp. jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/299/565/GCA_001299565.1_ASM129956v1	False
Campylobacter jejuni subsp. jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/299/595/GCA_001299595.1_ASM129959v1	False
Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/314/285/GCA_001314285.1_ASM131428v1	False
Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/412/295/GCA_001412295.1_ASM141229v1	False
Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/457/695/GCA_001457695.1_NCTC11351	False
Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/506/185/GCA_001506185.1_ASM150618v1	False
Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/506/205/GCA_001506205.1_ASM150620v1	False
Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/506/225/GCA_001506225.1_ASM150622v1	False
Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/506/245/GCA_001506245.1_ASM150624v1	False
Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/506/265/GCA_001506265.1_ASM150626v1	False
Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/506/285/GCA_001506285.1_ASM150628v1	False
Campylobacter jejuni	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/506/305/GCA_001506305.1_ASM150630v1	False
